02-06-2022 21:10:54.391,-,API,"Router1,0013A20041C37EFF,802.15.4 TH,2003,COM11 - 115200/8/N/1/N,1,46"
02-06-2022 20:52:56.009,181,RECV,7E00198100002E00313233343536373839306162636465666768696A4C
02-06-2022 20:52:56.136,182,RECV,7E00198100002E00313233343536373839306162636465666768696A4C
02-06-2022 20:52:56.263,183,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:56.325,184,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:56.452,185,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:56.578,186,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:56.703,187,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:56.766,188,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:56.893,189,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:57.018,190,RECV,7E00198100003600313233343536373839306162636465666768696A44
02-06-2022 20:52:57.143,191,RECV,7E00198100003600313233343536373839306162636465666768696A44
02-06-2022 20:52:57.205,192,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:57.329,193,RECV,7E00198100003600313233343536373839306162636465666768696A44
02-06-2022 20:52:57.454,194,RECV,7E00198100003500313233343536373839306162636465666768696A45
02-06-2022 20:52:57.582,195,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:57.644,196,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:57.770,197,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:57.896,198,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:58.021,199,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:58.083,200,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:58.208,201,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:58.334,202,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:58.461,203,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:58.523,204,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:58.649,205,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:58.774,206,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:58.900,207,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:58.977,208,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:59.089,209,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:59.214,210,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:59.341,211,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:59.404,212,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:59.530,213,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:59.655,214,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:59.780,215,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:59.844,216,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:52:59.968,217,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:00.094,218,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.220,219,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.293,220,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:00.408,221,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.533,222,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.658,223,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.721,224,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.847,225,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:00.973,226,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:01.099,227,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:01.162,228,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:01.286,229,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:01.412,230,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:53:01.538,231,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:01.601,232,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:01.727,233,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:01.852,234,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:01.976,235,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.039,236,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.164,237,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.290,238,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.415,239,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.478,240,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.604,241,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.728,242,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.853,243,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:02.915,244,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.042,245,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.167,246,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.293,247,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.356,248,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.482,249,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.607,250,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.734,251,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.797,252,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:03.923,253,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:04.047,254,RECV,7E00198100003000313233343536373839306162636465666768696A4A
02-06-2022 20:53:04.174,255,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:04.236,256,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:04.362,257,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:53:04.487,258,RECV,7E00198100003100313233343536373839306162636465666768696A49
